ธนาคารแห่งประเทศไทย EC_EI_027 : เครื่องชี้เศรษฐกิจมหภาคของไทย 1/ ปรับปรุงล่าสุด : 30 ก.ย. 2567 14:30 วันที่เรียกข้อมูล : 30 ก.ย. 2567 20:19 ,Unnamed: 1,2522 ,2523 ,2524 ,2525 ,2526 ,2527 ,2528 ,2529 ,2530 ,2531 ,2532 ,2533 ,2534 ,2535 ,2536 ,2537 ,2538 ,2539 ,2540 ,2541 ,2542 ,2543 ,2544 ,2545 ,2546 ,2547 ,2548 ,2549 ,2550 ,2551 ,2552 ,2553 ,2554 ,2555 ,2556 ,2557 ,2558 ,2559 ,2560 ,2561 r,2562 r,2563 r,2564 r,2565 p,2566 p,2567 p
13,   3.1 ดัชนีราคาผู้บริโภคทั่วไป (2562=100),24.5,29.3,33.1,34.8,36.1,36.4,37.3,38.0,38.9,40.4,42.6, 45.10 , 47.70 , 49.60 , 50.00 , 52.50 , 55.50 , 58.80 , 62.10 , 67.00 , 67.20 , 70.10 , 71.20 , 71.70 , 73.00 , 75.10 , 78.40 , 82.10 , 83.90 , 88.50 , 87.70 , 90.63 , 91.65 , 94.41 , 96.47 , 98.30 , 97.42 , 97.60 , 98.25 , 99.30 , 100.00 , 99.15 , 100.37 , 106.47 , 107.78 ,....
14.00,      (% การเปลี่ยนแปลง),9.9,19.71,12.77,5.18,3.76,0.88,2.48,1.9,2.4,3.9,5.3,5.93,5.70,4.10,3.52,5.00,5.71,5.95,5.61,7.89,0.30,1.60,1.60,0.70,1.80,2.70,4.50,4.70,2.30,5.50,-0.90,3.30,3.81,3.01,2.18,1.90,-0.90,0.18,0.67,1.07,0.70,-0.85,1.23,6.08,1.23,....
15,   3.2 ดัชนีราคาผู้บริโภคพื้นฐาน (2562=100) 3/,,,,,,,44.3,45.6,46.8,48.3,50.9, 54.00 , 56.70 , 59.10 , 60.40 , 63.60 , 66.90 , 70.40 , 73.70 , 79.00 , 80.40 , 83.00 , 84.00 , 84.40 , 84.50 , 84.90 , 86.30 , 88.20 , 89.10 , 91.20 , 91.40 , 92.29 , 92.12 , 94.05 , 94.99 , 96.50 , 97.52 , 98.23 , 98.78 , 99.48 , 100.00 , 100.29 , 100.52 , 103.04 , 104.35 ,....
16,     (% การเปลี่ยนแปลง),,,,,,,,2.9,2.71,3.11,5.45, 6.14 , 4.90 , 4.13 , 4.86 , 5.30 , 5.19 , 5.23 , 4.69 , 7.19 , 1.77 , 0.71 , 1.30 , 0.40 , 0.20 , 0.40 , 1.60 , 2.30 , 1.10 , 2.40 , 0.30 , 1.00 , 2.37 , 2.10 , 1.00 , 1.59 , 1.06 , 0.73 , 0.56 , 0.71 , 0.52 , 0.29 , 0.23 , 2.51 , 1.27 ,....
17,4. ภาคต่างประเทศ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,   4.1 สินค้าออก (ตามนิยามดุลการชำระเงิน) (พันล้านดอลลาร์ สรอ.),5.2,6.4,6.9,6.8,6.3,7.3,7.1,8.8,11.6,15.9,19.9,22.9,28.3,32.2,36.6,44.7,55.7,54.7,56.7,52.9,56.8,67.9,63.1,66.1,78.1,94.9,109.4,127.9,151.3,175.2,151.8,192.9,221.4,227.7,227.5,226.6,213.4,213.5,233.7,251.1,242.7,227.0,270.6,285.2,280.7,....
19,      (% การเปลี่ยนแปลง),30.0,23.1,7.8,-1.4,-7.4,15.9,-2.7,23.9,31.8,37.1,25.2,15.1,23.6,13.8,13.4,22.1,24.8,-1.9,3.8,-6.8,7.4,19.5,-7.1,4.8,18.2,21.6,15.2,17.0,18.2,15.9,-13.4,27.1,14.8,2.8,-0.1,-0.4,-5.9,0.1,9.5,7.5,-3.3,-6.5,19.2,5.4,-1.5,....
20,   4.2 สินค้าเข้า (ตามนิยามดุลการชำระเงิน) (พันล้านดอลลาร์ สรอ.),6.8,8.4,8.9,7.6,9.2,9.2,8.4,8.5,12.0,17.8,22.7,29.4,34.0,36.1,40.6,47.7,63.3,63.7,55.2,36.6,42.8,56.2,54.5,57.0,66.9,84.2,106.0,114.3,124.6,157.9,120.6,166.2,209.2,227.6,227.4,209.4,187.2,177.7,201.1,228.7,216.0,186.6,238.6,271.6,261.4,....
21,      (% การเปลี่ยนแปลง),,24.0,6.5,-15.2,21.4,0.0,-8.8,1.1,41.5,48.9,27.3,29.8,15.6,6.1,12.4,17.7,32.7,0.6,-13.4,-33.8,16.9,31.3,-3.0,4.6,17.4,10.7,25.9,7.8,9.1,26.7,-23.6,37.9,25.9,8.8,-0.1,-7.9,-10.6,-5.1,13.2,13.7,-5.6,-13.6,27.9,13.8,-3.8,....
22,   4.3 ดุลการค้า (พันล้านดอลลาร์ สรอ.),-1.6,-2.0,-2.0,-0.8,-2.9,-1.9,-1.3,0.3,-0.4,-1.9,-2.8,-6.5,-5.7,-3.9,-4.0,-3.0,-7.6,-9.0,1.5,16.3,14.0,11.7,8.6,9.1,11.2,10.7,3.4,13.7,26.6,17.3,31.2,26.7,12.2,0.0,0.0,17.2,26.1,35.8,32.6,22.4,26.7,40.4,31.9,13.5,19.4,....
